n,factor
2,1.7724538509055159
3,1.568227985522329
4,1.5959358915749975
5,1.566119918504271
6,1.5665917187537475
7,1.5645698104922163
8,1.5591463226541027
9,1.5567092196060675
10,1.552883525025133
11,1.5495783742253932
12,1.5464586626592194
13,1.5434231954181088
14,1.5406483227070749
15,1.5379760518635022
16,1.5355112050601099
17,1.5331729735870132
18,1.5309692625671425
19,1.5289354922215048
20,1.5270114199288258
21,1.5251796691166137
22,1.5235021735278569
23,1.521951493816849
24,1.5204340556539044
25,1.5190517241743664
26,1.5177051370257795
27,1.516446734361513
28,1.5153575942843207
29,1.514302612690893
30,1.5132991732333265
31,1.512338687326064
32,1.5114320497765232
33,1.5106031166995
34,1.5097663629830669
35,1.5089852962530468
36,1.5082511589368448
37,1.507560804894102
38,1.5068751103717881
39,1.5062158810040913
40,1.5056133190612957
41,1.5050252262364272
42,1.504465822079619
43,1.503910612631192
44,1.503428363117349
45,1.5029296569556545
46,1.5024556286916986
47,1.5019805937636437
48,1.5015565170063059
49,1.501145339371511
50,1.500751802214672
51,1.5003698934068834
52,1.5000121891617508
53,1.4996515322318593
54,1.499280338535689
55,1.4989709360374686
56,1.498646216048437
57,1.498320819623541
58,1.4980259764859238
59,1.497740826991654
60,1.4974770644454989
61,1.4971985237146364
62,1.4969323146756393
63,1.496684247576448
64,1.4964273906542742
65,1.4962014874123193
66,1.4959572796535758
67,1.4957464876312123
68,1.4955431452344967
69,1.4953344866968357
70,1.4951270087709816
71,1.4949582639866223
72,1.4947410543193598
73,1.4945606440404993
74,1.4943762583163969
75,1.494212624037235
76,1.4940255957333495
77,1.4938626834706734
78,1.4936888384296978
79,1.4935566433138765
80,1.4934048097899328
81,1.4932569362491959
82,1.4931017827980313
83,1.4929684030294779
84,1.492828552219284
85,1.4926942320365197
86,1.4925584468680948
87,1.4924296421645866
88,1.4923132331551392
89,1.4921933595819525
90,1.4920849736045503
91,1.4919531021197634
92,1.4918462654291909
93,1.4917258560543023
94,1.491620382318171
95,1.4915203744583667
96,1.4914162672597577
97,1.491315382471519
98,1.4912213368952223
99,1.4911309726754602
100,1.4910305663361703
109,1.4902432712403362
110,1.49017559457413
119,1.4895699890854701
120,1.4895065419980595
129,1.488959614846059
130,1.4889130738626575
139,1.4884495002867197
140,1.4884180719360331
149,1.4880357147995746
150,1.4879843641447588
159,1.4876573949111054
160,1.4876232028411946
169,1.4873414001412957
170,1.487310769646293
179,1.4870501231468924
180,1.4870305345449903
189,1.4867864972686529
190,1.486778546727913
199,1.4865687528404
200,1.4865573849851563
249,1.4857109379379914
250,1.485696402051204
299,1.4851577536744789
300,1.485152919457666
349,1.4847759125507238
350,1.4847605069895518
399,1.4844821600282332
400,1.4844773088765775
449,1.4842712473472306
450,1.4842598941063208
499,1.484082980003125
500,1.4840805386106433
600,1.4838278153133424
700,1.4836468207171694
800,1.483505396993909
900,1.4834066138323039
1000,1.4833199510845851
1500,1.483075757358637
2000,1.4829530311372163
3000,1.4828324808557714
