"distribution","n","sm","hd","thd.sqrt"
"Uniform(a=0, b=1)",5,0.23332,0.16375,0.19381
"Uniform(a=0, b=1)",6,0.19011,0.14374,0.1585
"Uniform(a=0, b=1)",7,0.20169,0.14417,0.17422
"Uniform(a=0, b=1)",8,0.17472,0.13503,0.15504
"Uniform(a=0, b=1)",9,0.16868,0.13261,0.15039
"Uniform(a=0, b=1)",10,0.15802,0.13508,0.15244
"Uniform(a=0, b=1)",11,0.15887,0.12895,0.14292
"Uniform(a=0, b=1)",12,0.14075,0.12663,0.13416
"Uniform(a=0, b=1)",13,0.13912,0.11964,0.1285
"Uniform(a=0, b=1)",14,0.1322,0.11309,0.12408
"Uniform(a=0, b=1)",15,0.14083,0.11649,0.12925
"Uniform(a=0, b=1)",16,0.12239,0.10528,0.11467
"Uniform(a=0, b=1)",17,0.11729,0.10134,0.11049
"Uniform(a=0, b=1)",18,0.11373,0.1023,0.10983
"Uniform(a=0, b=1)",19,0.11837,0.10359,0.11237
"Uniform(a=0, b=1)",20,0.10761,0.09422,0.10052
"Uniform(a=0, b=1)",21,0.11424,0.09436,0.10314
"Uniform(a=0, b=1)",22,0.10219,0.09116,0.09772
"Uniform(a=0, b=1)",23,0.10593,0.09391,0.10181
"Uniform(a=0, b=1)",24,0.10421,0.09218,0.10027
"Uniform(a=0, b=1)",25,0.09403,0.086,0.09299
"Uniform(a=0, b=1)",26,0.09424,0.08447,0.08858
"Uniform(a=0, b=1)",27,0.10093,0.08914,0.09171
"Uniform(a=0, b=1)",28,0.09822,0.08576,0.08889
"Uniform(a=0, b=1)",29,0.09884,0.08023,0.08808
"Uniform(a=0, b=1)",30,0.08982,0.07948,0.08472
"Uniform(a=0, b=1)",31,0.08769,0.07866,0.0819
"Uniform(a=0, b=1)",32,0.0858,0.07592,0.08206
"Uniform(a=0, b=1)",33,0.08789,0.07504,0.07955
"Uniform(a=0, b=1)",34,0.07818,0.07218,0.07396
"Uniform(a=0, b=1)",35,0.08315,0.07995,0.08285
"Uniform(a=0, b=1)",36,0.08818,0.08055,0.08462
"Uniform(a=0, b=1)",37,0.08356,0.07839,0.08324
"Uniform(a=0, b=1)",38,0.08008,0.07336,0.07554
"Uniform(a=0, b=1)",39,0.08181,0.07407,0.07724
"Uniform(a=0, b=1)",40,0.07587,0.06872,0.07329
"Uniform(a=0, b=1)",41,0.07627,0.06946,0.07261
"Uniform(a=0, b=1)",42,0.07605,0.06959,0.07227
"Uniform(a=0, b=1)",43,0.07545,0.07176,0.07423
"Uniform(a=0, b=1)",44,0.07498,0.07092,0.07505
"Uniform(a=0, b=1)",45,0.07754,0.06852,0.07239
"Uniform(a=0, b=1)",46,0.07082,0.06526,0.06738
"Uniform(a=0, b=1)",47,0.07484,0.06733,0.06981
"Uniform(a=0, b=1)",48,0.07529,0.06882,0.07044
"Uniform(a=0, b=1)",49,0.06762,0.05938,0.0622
"Uniform(a=0, b=1)",50,0.06693,0.06501,0.06546
"Triangular(a=0, b=2, c=1)",5,0.32724,0.24697,0.28206
"Triangular(a=0, b=2, c=1)",6,0.25467,0.21203,0.23791
"Triangular(a=0, b=2, c=1)",7,0.27447,0.20833,0.23717
"Triangular(a=0, b=2, c=1)",8,0.23813,0.19379,0.22328
"Triangular(a=0, b=2, c=1)",9,0.2488,0.19444,0.22601
"Triangular(a=0, b=2, c=1)",10,0.21139,0.17839,0.19238
"Triangular(a=0, b=2, c=1)",11,0.20961,0.17142,0.18771
"Triangular(a=0, b=2, c=1)",12,0.19513,0.17211,0.1827
"Triangular(a=0, b=2, c=1)",13,0.19973,0.15952,0.17649
"Triangular(a=0, b=2, c=1)",14,0.18635,0.16525,0.17617
"Triangular(a=0, b=2, c=1)",15,0.19096,0.16144,0.1719
"Triangular(a=0, b=2, c=1)",16,0.17745,0.15166,0.16771
"Triangular(a=0, b=2, c=1)",17,0.16524,0.14807,0.1531
"Triangular(a=0, b=2, c=1)",18,0.16122,0.14435,0.15509
"Triangular(a=0, b=2, c=1)",19,0.16841,0.14581,0.15964
"Triangular(a=0, b=2, c=1)",20,0.15538,0.13668,0.1454
"Triangular(a=0, b=2, c=1)",21,0.16202,0.13868,0.15295
"Triangular(a=0, b=2, c=1)",22,0.14401,0.13202,0.13906
"Triangular(a=0, b=2, c=1)",23,0.15527,0.13705,0.14437
"Triangular(a=0, b=2, c=1)",24,0.14088,0.12833,0.1347
"Triangular(a=0, b=2, c=1)",25,0.13853,0.12345,0.13057
"Triangular(a=0, b=2, c=1)",26,0.13728,0.12191,0.13066
"Triangular(a=0, b=2, c=1)",27,0.13474,0.121,0.12972
"Triangular(a=0, b=2, c=1)",28,0.13151,0.11889,0.12681
"Triangular(a=0, b=2, c=1)",29,0.13811,0.12098,0.12518
"Triangular(a=0, b=2, c=1)",30,0.13086,0.11419,0.12479
"Triangular(a=0, b=2, c=1)",31,0.1281,0.11788,0.12001
"Triangular(a=0, b=2, c=1)",32,0.12406,0.11365,0.12237
"Triangular(a=0, b=2, c=1)",33,0.11761,0.11359,0.1177
"Triangular(a=0, b=2, c=1)",34,0.11759,0.10691,0.11356
"Triangular(a=0, b=2, c=1)",35,0.11948,0.10529,0.11281
"Triangular(a=0, b=2, c=1)",36,0.12623,0.11318,0.11933
"Triangular(a=0, b=2, c=1)",37,0.11181,0.10145,0.1057
"Triangular(a=0, b=2, c=1)",38,0.12083,0.10382,0.11082
"Triangular(a=0, b=2, c=1)",39,0.11868,0.10436,0.10858
"Triangular(a=0, b=2, c=1)",40,0.10926,0.10296,0.10831
"Triangular(a=0, b=2, c=1)",41,0.11266,0.10003,0.1044
"Triangular(a=0, b=2, c=1)",42,0.11018,0.10221,0.10204
