"distribution","n","sm","hd","thd.sqrt"
"Uniform(a=0, b=1)",5,0.16832,0.11833,0.14263
"Uniform(a=0, b=1)",6,0.13876,0.10782,0.11793
"Uniform(a=0, b=1)",7,0.15011,0.10858,0.12818
"Uniform(a=0, b=1)",8,0.1301,0.10132,0.11522
"Uniform(a=0, b=1)",9,0.12517,0.09846,0.11257
"Uniform(a=0, b=1)",10,0.11705,0.09998,0.11342
"Uniform(a=0, b=1)",11,0.11796,0.09559,0.10592
"Uniform(a=0, b=1)",12,0.10561,0.09327,0.09949
"Uniform(a=0, b=1)",13,0.10337,0.0888,0.09667
"Uniform(a=0, b=1)",14,0.09706,0.08366,0.09217
"Uniform(a=0, b=1)",15,0.10509,0.08436,0.09594
"Uniform(a=0, b=1)",16,0.09057,0.07839,0.08573
"Uniform(a=0, b=1)",17,0.08701,0.07593,0.08255
"Uniform(a=0, b=1)",18,0.0845,0.07524,0.08183
"Uniform(a=0, b=1)",19,0.08788,0.07692,0.08339
"Uniform(a=0, b=1)",20,0.08052,0.07054,0.07338
"Uniform(a=0, b=1)",21,0.08477,0.07,0.07656
"Uniform(a=0, b=1)",22,0.07599,0.06794,0.07219
"Uniform(a=0, b=1)",23,0.07765,0.0691,0.07539
"Uniform(a=0, b=1)",24,0.07724,0.06875,0.07444
"Uniform(a=0, b=1)",25,0.07013,0.06403,0.0692
"Uniform(a=0, b=1)",26,0.07008,0.06233,0.06593
"Uniform(a=0, b=1)",27,0.0752,0.06629,0.06799
"Uniform(a=0, b=1)",28,0.07298,0.06302,0.06637
"Uniform(a=0, b=1)",29,0.07384,0.0595,0.06476
"Uniform(a=0, b=1)",30,0.06666,0.05826,0.06338
"Uniform(a=0, b=1)",31,0.06583,0.05839,0.06038
"Uniform(a=0, b=1)",32,0.06287,0.05701,0.06095
"Uniform(a=0, b=1)",33,0.06502,0.05533,0.05847
"Uniform(a=0, b=1)",34,0.05829,0.0538,0.05632
"Uniform(a=0, b=1)",35,0.06165,0.05849,0.06135
"Uniform(a=0, b=1)",36,0.06551,0.06014,0.06246
"Uniform(a=0, b=1)",37,0.06272,0.05797,0.06149
"Uniform(a=0, b=1)",38,0.05927,0.05454,0.05621
