n,factor
2,1.7724538509055159
3,2.2049487946578177
4,2.017248996021601
5,1.8039773124173566
6,1.763719118260416
7,1.6871327640932143
8,1.6714899329273087
9,1.632640893094619
10,1.62452533060846
11,1.601138618095696
12,1.5961296651297718
13,1.580606616753169
14,1.577249528727101
15,1.5661319860205107
16,1.5637221779558526
17,1.5554091921048776
18,1.55356285236151
19,1.5471092629790824
20,1.545678296913091
21,1.5404736575534383
22,1.5393393575488825
23,1.5351559695060182
24,1.5341890815541372
25,1.5307010604835072
26,1.529880901137888
27,1.5268975705938312
28,1.5263401761799489
29,1.5238449780574481
30,1.523349992800337
31,1.5211888964281282
32,1.5207297114875562
33,1.518880172554066
34,1.518444035176455
35,1.5167630769007787
36,1.516412957506225
37,1.5149333983545545
38,1.514592322071002
39,1.5132341226933006
40,1.5129487428673132
41,1.511732274667507
42,1.5114647290904544
43,1.5103437267003283
44,1.5101315710981753
45,1.50913014831459
46,1.508894043382113
47,1.5079563616405038
48,1.5077561215787634
49,1.5069226743064545
50,1.5067416392579631
51,1.5059704008078922
52,1.5058075593406002
53,1.5050818061154023
54,1.504889844321493
55,1.504247533412813
56,1.504087527695351
57,1.5034542702442086
58,1.5033073853076313
59,1.502744140295787
60,1.5026165880773024
61,1.5020692859253206
62,1.5019295759306854
63,1.501438021863036
64,1.5012963753719948
65,1.5008355665518456
66,1.5007093499548
67,1.5002773588984506
68,1.500180422050219
69,1.4997642715758452
70,1.4996628285067488
71,1.4992895432183189
72,1.4991710204442716
73,1.4988017579570894
74,1.498709805276342
75,1.498366925678435
76,1.498260223255638
77,1.497927009989253
78,1.4978358319274911
79,1.497548523352487
80,1.4974692292661576
81,1.4971683573634416
82,1.4970831362292627
83,1.4968064588349541
84,1.4967340168302672
85,1.4964644833044907
86,1.496387602519034
87,1.4961281598495475
88,1.496071909987907
89,1.495827110741913
90,1.4957768929418416
91,1.4955247099852989
92,1.495469315769054
93,1.4952306732389735
94,1.4951795478957928
95,1.4949665138100576
96,1.4949172042117562
97,1.4947073458524927
98,1.494660542995971
99,1.494465603401856
100,1.4944073868839285
109,1.4933223399145703
110,1.4932971661883851
119,1.4924324590409461
120,1.4924046126476898
129,1.491639658523513
130,1.49161896405333
139,1.4909678166113733
140,1.4909563261835503
149,1.49041084026018
150,1.4903744902456042
159,1.4899017021007923
160,1.4898844716592599
169,1.4894712436148394
170,1.4894516625022536
179,1.4890772872007498
180,1.4890677712828806
189,1.4887217247482842
190,1.488722279169248
199,1.48841491119856
200,1.4884154860189265
249,1.4872231975517736
250,1.4872166894622378
299,1.4864424338358446
300,1.4864425464548263
349,1.4858923431683826
350,1.485879526161045
399,1.4854700251664812
400,1.485466397572335
449,1.485157215595852
450,1.485147579629856
499,1.4848852682788876
500,1.4848847063418835
600,1.4845048598773718
700,1.4842335457422087
800,1.4840217812125944
900,1.4838690812621897
1000,1.4837384434693621
1500,1.4833591555014078
2000,1.4831677700043735
3000,1.482977266861828
