n,factor
2,1.7724538509055159
3,1.6455155650924749
4,2.017248987397493
5,1.6774265707120164
6,1.6887479297303647
7,1.6809970400222742
8,1.6363411576352986
9,1.6431028712243636
10,1.6137309702264133
11,1.6036393612509185
12,1.5937604654111717
13,1.5825799590578573
14,1.5770983075516993
15,1.5683383691836672
16,1.5639387095543595
17,1.5574497269437648
18,1.5530091905401422
19,1.5487663347445153
20,1.5449163747467425
21,1.5417306096565555
22,1.538503251786979
23,1.5360697773708425
24,1.5332968756116692
25,1.5313439510577231
26,1.5289581491485384
27,1.5271623143306758
28,1.5253836015896791
29,1.523849568839007
30,1.522385161329881
31,1.52098214432505
32,1.519767300176092
33,1.518523466293396
34,1.5174964368450121
35,1.5163169381187453
36,1.5154848079623184
37,1.5144139234944813
38,1.5136060169696763
39,1.5126657963456798
40,1.5119236326752181
41,1.5111347231724266
42,1.5104211502424698
43,1.5097279450222858
44,1.5090820282066058
45,1.5084958561306154
46,1.5078473875462355
47,1.5073233685805396
48,1.5067171188769166
49,1.5062950661558288
50,1.5057139511683875
51,1.5052978045233456
52,1.5047967117555772
53,1.504381304923135
54,1.5039022657842127
55,1.5035256897914635
56,1.503121820986801
57,1.5027177849164537
58,1.5023660651051818
59,1.501996406417819
60,1.501697959529003
61,1.501320950400598
62,1.501038832966711
63,1.5006863811466669
64,1.5004296146599683
65,1.5000930812231068
66,1.4998366141682853
67,1.4995382878460692
68,1.4993093920554659
69,1.4990318309817887
70,1.4987911275271262
71,1.4985672799355552
72,1.4983075878239152
73,1.4980885187040034
74,1.4978529716261633
75,1.4976615112110465
76,1.4974183105270544
77,1.4972370758096771
78,1.4970020132334996
79,1.4968641626932628
80,1.496645648659108
81,1.4964989402866498
82,1.4962715848227024
83,1.4961332327054673
84,1.4959332275220096
85,1.495786533524846
86,1.49560090679538
87,1.4954529037744517
88,1.495297042815536
89,1.495153479636164
90,1.4950148128657654
91,1.494851078845813
92,1.4947213631571061
93,1.4945653723570183
94,1.4944442180939557
95,1.4943062932152262
96,1.49419284037572
97,1.4940492004300727
98,1.4939511793463436
99,1.4938155718447281
100,1.4937144439929704
109,1.4927102668356895
110,1.4926243763173082
119,1.4918608753246574
120,1.491766665436388
129,1.4910839980705581
130,1.4910181355912795
139,1.4904281170165954
140,1.4903937502081304
149,1.4898952567939288
150,1.489835810429777
159,1.4894115420547833
160,1.489364760525783
169,1.4890056150457869
170,1.4889557495267227
179,1.488623690744741
180,1.4885931502777006
189,1.4882807109496876
190,1.4882700886776719
199,1.4879926044441583
200,1.4879801024625854
249,1.4868667167766387
250,1.4868506281675866
299,1.486132594296208
300,1.4861234365149967
349,1.4856183762222839
350,1.4855996440081327
399,1.4852231934320148
400,1.4852181895640448
449,1.4849345239100809
450,1.4849207988684012
499,1.484681510606762
500,1.484678263657521
600,1.4843294373834983
700,1.4840797087981763
800,1.4838859707156682
900,1.4837463281096046
1000,1.4836265432904283
1500,1.483282301690914
2000,1.4831091339023441
3000,1.482937294421647
